Technique,Accuracy,Macro F1,Weighted F1,Macro ROC AUC (OvR),Train time (s),Predict time (s),ROC score type
Random Forest,0.7471264367816092,0.6773886812249984,0.7114870166726591,0.941495782552215,0.21419304200389888,0.03276370799721917,predict_proba
SVM,0.5287356321839081,0.3321266968325792,0.4328808446455505,0.6605746468804836,0.1303475000022445,0.02083229200070491,decision_function
RidgeClassifier,0.6666666666666666,0.5146101692414383,0.6062570309506838,0.8499943476879152,0.06578904200432589,0.007122416005586274,decision_function
